# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/SM_WZ_dib.yoda/WZ_ATLAS/d08-x01-y01 //home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/cW_WZ_dib_linear.yoda/WZ_ATLAS/d08-x01-y01 //home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/cW_WZ_dib_quad.yoda/WZ_ATLAS/d08-x01-y01
LegendOnly=//home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/SM_WZ_dib.yoda/WZ_ATLAS/d08-x01-y01 //home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/cW_WZ_dib_linear.yoda/WZ_ATLAS/d08-x01-y01 //home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/cW_WZ_dib_quad.yoda/WZ_ATLAS/d08-x01-y01
RatioPlot=1
RatioPlotReference=//home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/SM_WZ_dib.yoda/WZ_ATLAS/d08-x01-y01
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/SM_WZ_dib.yoda/WZ_ATLAS/d08-x01-y01
LineColor=red
LineStyle=solid
Path=//home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/SM_WZ_dib.yoda/WZ_ATLAS/d08-x01-y01
ScaledBy=5.55489232903509773e+01
Title=SM_WZ_dib
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	2.756792e-01	6.036200e-04	6.036200e-04
3.000000e+01	6.000000e+01	4.097153e-01	7.358770e-04	7.358770e-04
6.000000e+01	9.000000e+01	2.363995e-01	5.589690e-04	5.589690e-04
9.000000e+01	1.200000e+02	1.138040e-01	3.878296e-04	3.878296e-04
1.200000e+02	1.500000e+02	5.513450e-02	2.699432e-04	2.699432e-04
1.500000e+02	2.200000e+02	2.117709e-02	1.095232e-04	1.095232e-04
2.200000e+02	1.000000e+03	9.178981e-04	6.831183e-06	6.831183e-06
# END HISTO1D


# BEGIN HISTO1D //home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/cW_WZ_dib_linear.yoda/WZ_ATLAS/d08-x01-y01
LineColor=blue
LineStyle=solid
Path=//home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/cW_WZ_dib_linear.yoda/WZ_ATLAS/d08-x01-y01
ScaledBy=1.77550761430487171e+02
Title=cW_WZ_dib_linear
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	3.942163e-01	1.898134e-03	1.898134e-03
3.000000e+01	6.000000e+01	4.573907e-01	2.247537e-03	2.247537e-03
6.000000e+01	9.000000e+01	1.841496e-01	1.913853e-03	1.913853e-03
9.000000e+01	1.200000e+02	5.944923e-02	1.641919e-03	1.641919e-03
1.200000e+02	1.500000e+02	2.076634e-02	1.425267e-03	1.425267e-03
1.500000e+02	2.200000e+02	5.757847e-03	7.484170e-04	7.484170e-04
2.200000e+02	1.000000e+03	8.383992e-04	8.017487e-05	8.017487e-05
# END HISTO1D


# BEGIN HISTO1D //home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/cW_WZ_dib_quad.yoda/WZ_ATLAS/d08-x01-y01
LineColor=green
LineStyle=solid
Path=//home/rgomez/Documents/vbssmeft/local_bicocca/WZ_diboson/rivet/cW_WZ_dib_quad.yoda/WZ_ATLAS/d08-x01-y01
ScaledBy=1.66944974279112785e+02
Title=cW_WZ_dib_quad
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	7.610703e-02	2.505094e-03	2.505094e-03
3.000000e+01	6.000000e+01	3.323170e-01	5.234800e-03	5.234800e-03
6.000000e+01	9.000000e+01	6.507057e-01	7.325189e-03	7.325189e-03
9.000000e+01	1.200000e+02	9.189693e-01	8.705237e-03	8.705237e-03
1.200000e+02	1.500000e+02	1.063259e+00	9.363657e-03	9.363657e-03
1.500000e+02	2.200000e+02	1.219582e+00	6.565157e-03	6.565157e-03
2.200000e+02	1.000000e+03	7.796791e-01	1.574961e-03	1.574961e-03
# END HISTO1D

